gene,ratio,log2FC_treitz,Acetate,Glucose,log2FC_schmidt,avg_exp,category
ytfq,7.6328085215901265,2.932214,529.3430445780774,99.14814433994474,2.404790158143925,314.24559445901104,Concordant
fadb,5.481728971600929,2.454631,611.3090935789804,173.43056640090893,1.8116072356962087,392.36982998994466,Concordant
psug,5.332340841595675,2.414769,26.70482524708942,7.0857805487706935,1.77667831307618,16.89530289793006,Concordant
uspf,5.222211905040053,2.384661,3198.9851182961356,1378.1824318789957,1.21425189328923,2288.5837750875658,Concordant
tnaa,4.837135661715681,2.274153,2409.3430200869548,613.2434420341428,1.9723560186353757,1511.2932310605488,Concordant
mhpr,4.790854503451598,2.260283,88.15343724810315,11.387420255752836,2.8474146509500695,49.770428751927994,Concordant
aspa,4.267892979513563,2.093524,780.3149211220446,110.16136028162224,2.8132487722295076,445.2381407018334,Concordant
mglb,4.164224936628802,2.058048,19550.98210163877,3223.2180985208943,2.6002936278674156,11387.100100079831,Concordant
pcka,4.115449459712217,2.04105,7096.865889638329,1147.2258900948227,2.6279788248613656,4122.045889866576,Concordant
acs,3.889185371362029,1.959468,6590.128105917588,994.7747093259724,2.726634131709502,3792.45140762178,Concordant
fadh,3.8566360351966127,1.947343,183.93402808454425,42.749237674978694,2.0796809233023854,113.34163287976148,Concordant
glcf,3.752876982106273,1.907997,31.956249399512245,0.2664560545445135,4.701683143155584,16.11135272702838,Concordant
puua,3.6484229848531946,1.867273,282.81380276916167,122.15196595158068,1.2045050952986651,202.48288436037117,Concordant
agp,3.644343632059136,1.865659,1380.4358681744463,501.30949009533384,1.4595201508730111,940.87267913489,Concordant
araf,3.592454787761806,1.84497,144.92946222023156,34.956767924545986,2.020935932434168,89.94311507238876,Concordant
dcta,3.5576140317167133,1.83091,207.2887607502481,36.82094316129543,2.4613277476213087,122.05485195577177,Concordant
fadi,3.445009592343854,1.784508,131.2228132453436,22.51157387582727,2.491528093677742,76.86719356058543,Concordant
csta,3.4128003056530076,1.770956,1951.6610440991933,360.58107669344815,2.43305045679797,1156.121060396321,Concordant
rbsb,3.3290810619005855,1.735124,13629.529995307525,5038.316562961157,1.4355416670899943,9333.92327913434,Concordant
